type,simulationRun,threshold,mean_score,max_score,p95_score,n_above,max_consec
normal,380,0.64,0.6287552714347839,0.7031757831573486,0.6874255537986755,30,17
normal,380,0.66,0.6287552714347839,0.7031757831573486,0.6874255537986755,10,7
normal,380,0.687,0.6287552714347839,0.7031757831573486,0.6874255537986755,6,4
normal,389,0.6,0.6462796926498413,0.7046034932136536,0.6934987306594849,84,48
normal,389,0.62,0.6462796926498413,0.7046034932136536,0.6934987306594849,72,42
normal,389,0.64,0.6462796926498413,0.7046034932136536,0.6934987306594849,55,18
normal,389,0.66,0.6462796926498413,0.7046034932136536,0.6934987306594849,31,10
normal,389,0.687,0.6462796926498413,0.7046034932136536,0.6934987306594849,7,5
normal,391,0.6,0.6202535033226013,0.6825982332229614,0.6621421575546265,66,21
normal,391,0.62,0.6202535033226013,0.6825982332229614,0.6621421575546265,45,15
normal,391,0.64,0.6202535033226013,0.6825982332229614,0.6621421575546265,19,9
normal,391,0.66,0.6202535033226013,0.6825982332229614,0.6621421575546265,5,4
normal,391,0.687,0.6202535033226013,0.6825982332229614,0.6621421575546265,0,0
normal,413,0.6,0.6337479948997498,0.6756147146224976,0.6690102815628052,80,38
normal,413,0.62,0.6337479948997498,0.6756147146224976,0.6690102815628052,65,29
normal,413,0.64,0.6337479948997498,0.6756147146224976,0.6690102815628052,38,23
normal,413,0.66,0.6337479948997498,0.6756147146224976,0.6690102815628052,9,5
normal,413,0.687,0.6337479948997498,0.6756147146224976,0.6690102815628052,0,0
normal,414,0.6,0.6142808794975281,0.6705923080444336,0.6612570285797119,67,21
normal,414,0.62,0.6142808794975281,0.6705923080444336,0.6612570285797119,31,12
normal,414,0.64,0.6142808794975281,0.6705923080444336,0.6612570285797119,13,10
normal,414,0.66,0.6142808794975281,0.6705923080444336,0.6612570285797119,6,3
normal,414,0.687,0.6142808794975281,0.6705923080444336,0.6612570285797119,0,0
normal,415,0.6,0.6243936419487,0.6915332078933716,0.6763941645622253,69,31
normal,415,0.62,0.6243936419487,0.6915332078933716,0.6763941645622253,49,10
normal,415,0.64,0.6243936419487,0.6915332078933716,0.6763941645622253,25,8
normal,415,0.66,0.6243936419487,0.6915332078933716,0.6763941645622253,10,7
normal,415,0.687,0.6243936419487,0.6915332078933716,0.6763941645622253,2,2
normal,425,0.6,0.6258327960968018,0.6828479170799255,0.6707262992858887,77,55
normal,425,0.62,0.6258327960968018,0.6828479170799255,0.6707262992858887,56,16
normal,425,0.64,0.6258327960968018,0.6828479170799255,0.6707262992858887,22,8
normal,425,0.66,0.6258327960968018,0.6828479170799255,0.6707262992858887,7,5
normal,425,0.687,0.6258327960968018,0.6828479170799255,0.6707262992858887,0,0
normal,434,0.6,0.6192871928215027,0.680456280708313,0.6633550524711609,59,25
normal,434,0.62,0.6192871928215027,0.680456280708313,0.6633550524711609,48,22
normal,434,0.64,0.6192871928215027,0.680456280708313,0.6633550524711609,24,11
