type,simulationRun,relationship,score_type,mean_score,max_score,p95_score,n_above_p99,max_consec_p99,event_p99
normal,50,act_A_C_Feed_Flow->Reactor_Feed_Rate,actuator_process_residual,0.8406203575846903,0.9873516391302838,0.9445116291278134,1,1,0
normal,50,act_A_Feed_Flow->Reactor_Feed_Rate,actuator_process_residual,0.8349078505450358,0.9771888852458159,0.9259349668049505,0,0,0
normal,50,act_D_Feed_Flow->Reactor_Feed_Rate,actuator_process_residual,0.8356439263326805,0.9822537081844528,0.9413076703420458,0,0,0
normal,50,act_Condenser_Cooling_Water_Flow->Separator_Temperature,actuator_process_residual,0.789650414424345,1.359077259507704,1.281657993301598,0,0,0
normal,50,act_Condenser_Cooling_Water_Outlet_Temperature->Separator_Temperature,actuator_process_residual,0.8048364070892653,1.40209228464826,1.3386991894536833,0,0,0
normal,50,act_Separator_Temperature->Separator_Pressure,actuator_process_residual,0.7476375010113567,0.9776447146026793,0.9137437968441278,0,0,0
normal,50,pair_Reactor_Feed_Rate_vs_Reactor_Temperature,pair_correlation_deviation,0.9646405202299291,2.3715516509894403,2.1941495961457913,0,0,0
normal,50,pair_Separator_Temperature_vs_Separator_Pressure,pair_correlation_deviation,0.6916012593793273,1.6223886821860223,1.4294891757828263,0,0,0
normal,50,pair_Reactor_Temperature_vs_Reactor_Pressure,pair_correlation_deviation,0.5820706735997901,1.7396727355444221,1.3329173168647266,0,0,0
normal,50,lag_Reactor_Cooling_Water_Flow->Reactor_Temperature_lag5,lagged_correlation_deviation,0.8329378220625464,2.3276872808732776,1.897037730919824,0,0,0
normal,50,lag_A_C_Feed_Flow->Reactor_Feed_Rate_lag5,lagged_correlation_deviation,0.6795218419991641,2.185531432203455,1.6681652643177578,0,0,0
normal,50,lag_Condenser_Cooling_Water_Flow->Separator_Temperature_lag5,lagged_correlation_deviation,0.8196559754565825,1.8081535661338437,1.369691999274986,0,0,0
